================================ HOTEL CHECK-INS ================================


Day of Booking,Room No.,Floor No.,Occupancy,Booked,No. of People Entered,Check-in Date/Time,Stay Duration,Names,CNIC,DOB

2,202,2,2,1,2,30/9/2017 - 24:59:25,2
, , , , , , , ,Howard Gilbert,4050279341,11/15/1974,
, , , , , , , ,Mario Guzman,3583276588,11/12/1993,

2,104,1,4,1,4,30/9/2017 - 18:18:50,5
, , , , , , , ,Mittie Stokes,2267617912,3/26/1963,
, , , , , , , ,Elizabeth Jenkins,8889995249,8/30/1981,
, , , , , , , ,Nelle Sherman,4895821098,3/20/1976,
, , , , , , , ,Augusta Williams,1344770554,2/3/1954,

5,102,1,3,1,3,3/10/2017 - 15:56:17,1
, , , , , , , ,Olive Clarke,0571052251,8/22/1994,
, , , , , , , ,Jacob Wilson,3475530655,3/9/1998,
, , , , , , , ,Estelle Nichols,6770922538,11/15/1960,

5,106,1,4,1,4,3/10/2017 - 3:16:44,1
, , , , , , , ,Delia Maxwell,5322017905,8/18/1986,
, , , , , , , ,Adam Gilbert,8519186193,10/1/1993,
, , , , , , , ,Mario Guzman,3583276588,11/12/1993,
, , , , , , , ,Olga Townsend,4606665622,8/7/1997,

5,202,2,2,1,2,3/10/2017 - 19:8:27,2
, , , , , , , ,Dean Schultz,8871653980,4/10/1962,
, , , , , , , ,Eliza Ingram,7604561922,2/27/1962,

5,207,2,2,1,2,3/10/2017 - 18:19:26,2
, , , , , , , ,Stanley James,4877382895,3/21/1977,
, , , , , , , ,Julia Hayes,4056615236,1/30/1964,

5,103,1,3,1,3,3/10/2017 - 18:51:37,4
, , , , , , , ,Mittie Stokes,2267617912,3/26/1963,
, , , , , , , ,Jesse Holt,5610226135,11/18/1999,
, , , , , , , ,Dean Schultz,8871653980,4/10/1962,

5,107,1,4,1,4,3/10/2017 - 16:44:40,6
, , , , , , , ,Cornelia Hicks,1783166283,7/24/1971,
, , , , , , , ,Marion McGuire,6384109891,12/18/1966,
, , , , , , , ,Caleb Jenkins,8644062162,5/6/1980,
, , , , , , , ,Mable Baldwin,1849522912,11/5/1982,

5,110,1,3,1,3,3/10/2017 - 10:46:3,6
, , , , , , , ,Sophia Rivera,1496736750,7/31/1993,
, , , , , , , ,Caleb Jenkins,8644062162,5/6/1980,
, , , , , , , ,Chester Tran,7283556818,2/1/1987,

5,209,2,2,1,2,3/10/2017 - 11:37:54,5
, , , , , , , ,Frank Brooks,2981796010,2/17/1997,
, , , , , , , ,Cornelia Hicks,1783166283,7/24/1971,

5,204,2,3,1,3,3/10/2017 - 12:60:38,4
, , , , , , , ,Hulda Becker,0153223438,11/6/1991,
, , , , , , , ,Augusta Williams,1344770554,2/3/1954,
, , , , , , , ,Julia Hayes,4056615236,1/30/1964,

7,104,1,4,1,4,5/10/2017 - 2:11:43,6
, , , , , , , ,Jacob Walton,5834634360,2/26/1972,
, , , , , , , ,Grace Perez,5795152806,9/21/1975,
, , , , , , , ,Sophia Rivera,1496736750,7/31/1993,
, , , , , , , ,Augusta Williams,1344770554,2/3/1954,

7,106,1,4,1,4,5/10/2017 - 12:20:7,3
, , , , , , , ,Lily Hunter,6733446179,8/20/1962,
, , , , , , , ,Olga Townsend,4606665622,8/7/1997,
, , , , , , , ,Eula Willis,7945743903,1/23/1980,
, , , , , , , ,David Butler,6892137103,7/1/1981,

7,202,2,2,1,2,5/10/2017 - 5:1:43,6
, , , , , , , ,Hulda Sandoval,8908212809,7/31/1992,
, , , , , , , ,Rebecca Ortiz,5595511975,9/7/1977,

7,102,1,3,1,3,5/10/2017 - 3:13:34,5
, , , , , , , ,Caroline Burke,1202737456,12/28/1953,
, , , , , , , ,Augusta Williams,1344770554,2/3/1954,
, , , , , , , ,Patrick Bailey,3759034794,4/12/1956,

7,109,1,4,1,4,5/10/2017 - 24:41:8,1
, , , , , , , ,Howard Gilbert,4050279341,11/15/1974,
, , , , , , , ,Derek Burgess,5175027995,2/24/1963,
, , , , , , , ,Derek Roberson,9159679494,4/23/1985,
, , , , , , , ,Victoria Little,4296378289,11/26/1952,

