================================ HOTEL CHECK-OUTS ================================


Day of Booking,Room No.,Floor No.,Occupancy,Booked,No. of People Exited,Check-out Date/Time,Base Charges,Stay Duration,Total Charges,Names,CNIC,DOB

2,202,2,2,0,2,30/9/2017 - 10:8:41,4000,2,8000
, , , , , , , , , ,Howard Gilbert,4050279341,11/15/1974,
, , , , , , , , , ,Mario Guzman,3583276588,11/12/1993,

5,102,1,3,0,3,3/10/2017 - 24:20:14,5500,1,5500
, , , , , , , , , ,Olive Clarke,0571052251,8/22/1994,
, , , , , , , , , ,Jacob Wilson,3475530655,3/9/1998,
, , , , , , , , , ,Estelle Nichols,6770922538,11/15/1960,

5,106,1,4,0,4,3/10/2017 - 1:34:52,7000,1,7000
, , , , , , , , , ,Delia Maxwell,5322017905,8/18/1986,
, , , , , , , , , ,Adam Gilbert,8519186193,10/1/1993,
, , , , , , , , , ,Mario Guzman,3583276588,11/12/1993,
, , , , , , , , , ,Olga Townsend,4606665622,8/7/1997,

2,104,1,4,0,4,30/9/2017 - 16:38:18,7000,5,35000
, , , , , , , , , ,Mittie Stokes,2267617912,3/26/1963,
, , , , , , , , , ,Elizabeth Jenkins,8889995249,8/30/1981,
, , , , , , , , , ,Nelle Sherman,4895821098,3/20/1976,
, , , , , , , , , ,Augusta Williams,1344770554,2/3/1954,

5,202,2,2,0,2,3/10/2017 - 20:2:24,4000,2,8000
, , , , , , , , , ,Dean Schultz,8871653980,4/10/1962,
, , , , , , , , , ,Eliza Ingram,7604561922,2/27/1962,

5,207,2,2,0,2,3/10/2017 - 22:22:44,4000,2,8000
, , , , , , , , , ,Stanley James,4877382895,3/21/1977,
, , , , , , , , , ,Julia Hayes,4056615236,1/30/1964,

